Displacement,Horsepower,Weight,Acceleration
307,130,3504,12
350,165,3693,11.5
318,150,3436,11
304,150,3433,12
302,140,3449,10.5
429,198,4341,10
454,220,4354,9
440,215,4312,8.5
455,225,4425,10
390,190,3850,8.5
383,170,3563,10
340,160,3609,8
400,150,3761,9.5
455,225,3086,10
113,95,2372,15
198,95,2833,15.5
199,97,2774,15.5
200,85,2587,16
97,88,2130,14.5
97,46,1835,20.5
110,87,2672,17.5
107,90,2430,14.5
104,95,2375,17.5
121,113,2234,12.5
199,90,2648,15
360,215,4615,14
307,200,4376,15
318,210,4382,13.5
304,193,4732,18.5
97,88,2130,14.5
140,90,2264,15.5
113,95,2228,14
232,100,2634,13
225,105,3439,15.5
250,100,3329,15.5
250,88,3302,15.5
232,100,3288,15.5
350,165,4209,12
400,175,4464,11.5
351,153,4154,13.5
318,150,4096,13
383,180,4955,11.5
400,170,4746,12
400,175,5140,12
258,110,2962,13.5
140,72,2408,19
250,100,3282,15
250,88,3139,14.5
122,86,2220,14
116,90,2123,14
79,70,2074,19.5
88,76,2065,14.5
71,65,1773,19
72,69,1613,18
97,60,1834,19
91,70,1955,20.5
113,95,2278,15.5
97.5,80,2126,17
97,54,2254,23.5
140,90,2408,19.5
122,86,2226,16.5
350,165,4274,12
400,175,4385,12
318,150,4135,13.5
351,153,4129,13
304,150,3672,11.5
429,208,4633,11
350,155,4502,13.5
350,160,4456,13.5
400,190,4422,12.5
70,97,2330,13.5
304,150,3892,12.5
307,130,4098,14
302,140,4294,16
318,150,4077,14
121,112,2933,14.5
121,76,2511,18
120,87,2979,19.5
96,69,2189,18
122,86,2395,16
97,92,2288,17
120,97,2506,14.5
98,80,2164,15
97,88,2100,16.5
350,175,4100,13
304,150,3672,11.5
350,145,3988,13
302,137,4042,14.5
318,150,3777,12.5
429,198,4952,11.5
400,150,4464,12
351,158,4363,13
318,150,4237,14.5
440,215,4735,11
455,225,4951,11
360,175,3821,11
225,105,3121,16.5
250,100,3278,18
232,100,2945,16
250,88,3021,16.5
198,95,2904,16
97,46,1950,21
400,150,4997,14
400,167,4906,12.5
360,170,4654,13
350,180,4499,12.5
232,100,2789,15
97,88,2279,19
140,72,2401,19.5
108,94,2379,16.5
70,90,2124,13.5
122,85,2310,18.5
155,107,2472,14
98,90,2265,15.5
350,145,4082,13
400,230,4278,9.5
68,49,1867,19.5
116,75,2158,15.5
114,91,2582,14
121,112,2868,15.5
318,150,3399,11
121,110,2660,14
156,122,2807,13.5
350,180,3664,11
198,95,3102,16.5
232,100,2901,16
250,100,3336,17
79,67,1950,19
122,80,2451,16.5
71,65,1836,21
140,75,2542,17
250,100,3781,17
258,110,3632,18
225,105,3613,16.5
302,140,4141,14
350,150,4699,14.5
318,150,4457,13.5
302,140,4638,16
304,150,4257,15.5
98,83,2219,16.5
79,67,1963,15.5
97,78,2300,14.5
76,52,1649,16.5
83,61,2003,19
90,75,2125,14.5
90,75,2108,15.5
116,75,2246,14
120,97,2489,15
108,93,2391,15.5
79,67,2000,16
225,95,3264,16
250,105,3459,16
250,72,3432,21
250,72,3158,19.5
400,170,4668,11.5
350,145,4440,14
318,150,4498,14.5
351,148,4657,13.5
231,110,3907,21
250,105,3897,18.5
258,110,3730,19
225,95,3785,19
231,110,3039,15
262,110,3221,13.5
302,129,3169,12
97,75,2171,16
140,83,2639,17
232,100,2914,16
140,78,2592,18.5
134,96,2702,13.5
90,71,2223,16.5
119,97,2545,17
171,97,2984,14.5
90,70,1937,14
232,90,3211,17
115,95,2694,15
120,88,2957,17
121,98,2945,14.5
121,115,2671,13.5
91,53,1795,17.5
107,86,2464,15.5
116,81,2220,16.9
140,92,2572,14.9
98,79,2255,17.7
101,83,2202,15.3
305,140,4215,13
318,150,4190,13
304,120,3962,13.9
351,152,4215,12.8
225,100,3233,15.4
250,105,3353,14.5
200,81,3012,17.6
232,90,3085,17.6
85,52,2035,22.2
98,60,2164,22.1
90,70,1937,14.2
91,53,1795,17.4
225,100,3651,17.7
250,78,3574,21
250,110,3645,16.2
258,95,3193,17.8
97,71,1825,12.2
85,70,1990,17
97,75,2155,16.4
140,72,2565,13.6
130,102,3150,15.7
318,150,3940,13.2
120,88,3270,21.9
156,108,2930,15.5
168,120,3820,16.7
350,180,4380,12.1
350,145,4055,12
302,130,3870,15
318,150,3755,14
98,68,2045,18.5
111,80,2155,14.8
79,58,1825,18.6
122,96,2300,15.5
85,70,1945,16.8
305,145,3880,12.5
260,110,4060,19
318,145,4140,13.7
302,130,4295,14.9
250,110,3520,16.4
231,105,3425,16.9
225,100,3630,17.7
250,98,3525,19
400,180,4220,11.1
350,170,4165,11.4
400,190,4325,12.2
351,149,4335,14.5
97,78,1940,14.5
151,88,2740,16
97,75,2265,18.2
140,89,2755,15.8
98,63,2051,17
98,83,2075,15.9
97,67,1985,16.4
97,78,2190,14.1
146,97,2815,14.5
121,110,2600,12.8
80,110,2720,13.5
90,48,1985,21.5
98,66,1800,14.4
78,52,1985,19.4
85,70,2070,18.6
91,60,1800,16.4
260,110,3365,15.5
318,140,3735,13.2
302,139,3570,12.8
231,105,3535,19.2
200,95,3155,18.2
200,85,2965,15.8
140,88,2720,15.4
225,100,3430,17.2
232,90,3210,17.2
231,105,3380,15.8
200,85,3070,16.7
225,110,3620,18.7
258,120,3410,15.1
305,145,3425,13.2
231,165,3445,13.4
302,139,3205,11.2
318,140,4080,13.7
98,68,2155,16.5
134,95,2560,14.2
119,97,2300,14.7
105,75,2230,14.5
134,95,2515,14.8
156,105,2745,16.7
151,85,2855,17.6
119,97,2405,14.9
131,103,2830,15.9
163,125,3140,13.6
121,115,2795,15.7
163,133,3410,15.8
89,71,1990,14.9
98,68,2135,16.6
231,115,3245,15.4
200,85,2990,18.2
140,88,2890,17.3
232,90,3265,18.2
225,110,3360,16.6
305,130,3840,15.4
302,129,3725,13.4
351,138,3955,13.2
318,135,3830,15.2
350,155,4360,14.9
351,142,4054,14.3
267,125,3605,15
360,150,3940,13
89,71,1925,14
86,65,1975,15.2
98,80,1915,14.4
121,80,2670,15
183,77,3530,20.1
350,125,3900,17.4
141,71,3190,24.8
260,90,3420,22.2
105,70,2200,13.2
105,70,2150,14.9
85,65,2020,19.2
91,69,2130,14.7
151,90,2670,16
173,115,2595,11.3
173,115,2700,12.9
151,90,2556,13.2
98,76,2144,14.7
89,60,1968,18.8
98,70,2120,15.5
86,65,2019,16.4
151,90,2678,16.5
140,88,2870,18.1
151,90,3003,20.1
225,90,3381,18.7
97,78,2188,15.8
134,90,2711,15.5
120,75,2542,17.5
119,92,2434,15
108,75,2265,15.2
86,65,2110,17.9
156,105,2800,14.4
85,65,2110,19.2
90,48,2085,21.7
90,48,2335,23.7
121,67,2950,19.9
146,67,3250,21.8
91,67,1850,13.8
97,67,2145,18
89,62,1845,15.3
168,132,2910,11.4
70,100,2420,12.5
122,88,2500,15.1
107,72,2290,17
135,84,2490,15.7
151,84,2635,16.4
156,92,2620,14.4
173,110,2725,12.6
135,84,2385,12.9
79,58,1755,16.9
86,64,1875,16.4
81,60,1760,16.1
97,67,2065,17.8
85,65,1975,19.4
89,62,2050,17.3
91,68,1985,16
105,63,2215,14.9
98,65,2045,16.2
98,65,2380,20.7
105,74,2190,14.2
107,75,2210,14.4
108,75,2350,16.8
119,100,2615,14.8
120,74,2635,18.3
141,80,3230,20.4
145,76,3160,19.6
168,116,2900,12.6
146,120,2930,13.8
231,110,3415,15.8
350,105,3725,19
200,88,3060,17.1
225,85,3465,16.6
112,88,2605,19.6
112,88,2640,18.6
112,88,2395,18
112,85,2575,16.2
135,84,2525,16
151,90,2735,18
140,92,2865,16.4
105,74,1980,15.3
91,68,2025,18.2
91,68,1970,17.6
105,63,2125,14.7
98,70,2125,17.3
120,88,2160,14.5
107,75,2205,14.5
108,70,2245,16.9
91,67,1965,15
91,67,1965,15.7
91,67,1995,16.2
181,110,2945,16.4
262,85,3015,17
156,92,2585,14.5
232,112,2835,14.7
144,96,2665,13.9
135,84,2370,13
151,90,2950,17.3
140,86,2790,15.6
97,52,2130,24.6
135,84,2295,11.6
120,79,2625,18.6
119,82,2720,19.4